document_id,clean_text,sentiment
1,era burgeoning electric vehicle ev popularity understanding pattern ev user behavior imperative paper examines trend household charging session timing duration energy consumption analyzing realworld residential charging data leveraging information collected session novel framework introduced efficient realtime prediction important charging characteristic utilizing historical data userspecific feature machine learning model trained predict connection duration charging duration charging demand time next session model enhance understanding ev user behavior provide practical tool optimizing ev charging infrastructure effectively managing charging demand transportation sector becomes increasingly electrified work aim empower stakeholder insight reliable model enabling anticipate localized demand contribute sustainable integration electric vehicle grid,positive
2,background meditation apps surged popularity recent year increasing number individual turning apps cope stress including covid pandemic meditation apps commonly used mental health apps depression anxiety however little known well suited apps objective study aimed develop test datadriven algorithm predict individual likely benefit appbased meditation training method using randomized controlled trial data comparing week meditation app healthy mind program hmp assessmentonly control condition school system employee n developed algorithm predict likely benefit hmp baseline clinical demographic characteristic submitted machine learning model develop personalized advantage index pai reflecting individual expected reduction distress primary outcome hmp versus control result significant group pai interaction emerged p indicating pai score moderated group difference outcome regression model included repetitive negative thinking sole baseline predictor performed comparably well finally demonstrate translation predictive model personalized recommendation expected benefit conclusion overall result revealed potential datadriven algorithm inform individual likely benefit meditation app algorithm could used objectively communicate expected benefit individual allowing make informed decision whether meditation app appropriate trial registration clinicaltrialsgov nct httpsclinicaltrialsgovctshownct,positive
3,background human must able cope huge amount information produced information technology revolution result automatic text summarization employed range industry assist individual identifying important information text summarization two approach mainly considered text summarization extractive abstractive method extractive summarisation approach selects chunk sentence like source document abstractive approach generate summary based mined keywords lowresourced language eg urdu extractive summarization us various model algorithm however study abstractive summarization urdu still challenging task many literary work urdu producing abstractive summary demand extensive research methodology article proposed deep learning model urdu language using urdu million news dataset compared performance two widely used method based machine learning support vector machine svm logistic regression lr result show suggested deep learning model performs better two approach summary produced extractive summary processed using encoderdecoder paradigm create abstractive summary result help urdu language specialist systemgenerated summary validated showing proposed model improvement accuracy,positive
4,growing number cloudbased service led rising threat distributed denial service ddos attack attack cause significant harm business organization overwhelming network resource resulting unavailability critical service traditional defense mechanism firewall system becoming insufficient cope scale complexity ddos attack research propose new machine learning approach based ensemble learning detect ddos attack cloud environment proposed method utilizes various feature extracted network traffic train machine learning algorithm proposed solution expected effective detecting ddos attack realtime high accuracy,negative
5,diffusion generative model class machine learning technique shown remarkable promise material science chemistry enabling precise generation complex molecular structure article propose novel application diffusion generative model stabilizing reactive molecular structure identified quantum mechanical screening specifically focus design challenge presented singlet fission sf phenomenon crucial advancing solar cell efficiency beyond theoretical limit theoretical chemistry successful predicting intermolecular arrangement enhanced sf coupling practical implementation configuration face challenge due discrepancy favorable stabilized structure address gap introduce threestep strategy combining quantum mechanical screening identifying optimal molecular arrangement diffusion generative model predicting stabilizing linkers case study cibalackrot dimer promising sf material demonstrate efficacy approach enhancing sf efficiency stabilizing desired molecular arrangement,negative
6,traditional machine learning model effectively identify new network traffic data set resulting model failure therefore paper analyzing problem current network intrusion detection nid combining application transfer theory detection model nid model based transfer component analysis tca proposed among specific mathematical derivation algorithm detection process transfer model introduced detail classification performance knn svm based tca algorithm network abnormal traffic compared result show tca algorithm proposed paper effectively improve accuracy nid meaningful expand application scope network abnormal traffic detection scheme based machine learning,negative
7,tropical subtropical area malaria stand profound public health challenge causing estimated million case worldwide annually given absence viable vaccine timely effective treatment malaria remains critical priority however growing resistance parasite currently utilized drug underscore critical need identification new antimalarial therapy aimed identify potential new drug candidate plasmodium falciparum main causative agent malaria analyzing transcriptomes different life stage parasite identifying highly expressed gene searched gene expressed stage parasite life cycle including asexual blood stage gametocyte stage liver stage sexual stage insect vector using transcriptomics data publicly available database analysis found overlapping gene including essential one searching drug target database discovered potential drug target associated bioactive compound sought expand analysis similar compound known drug found list similar compound predicted active inactives using previously developed machine learning model five life stage plasmodium spp analysis two compound selected reaction experimentally evaluated compound hsp silvestrol aglycone showed potent inhibitory activity nanomolar concentration p falciparum strain asexual blood stage moreover silvestrol aglycone exhibited low cytotoxicity mammalian cell transmissionblocking potential inhibitory activity comparable established antimalarial finding warrant investigation silvestrol aglycone potential dualacting antimalarial transmissionblocking candidate malaria control,negative
8,artificial intelligence ai evolved computational tool transformative force reshaping every branch engineering review paper explores depth breadth ai integration across major engineering disciplinesincluding mechanical electrical electronics computer science civil chemical aerospace biomedical industrial engineering analysing recent advance machine learning deep learning computer vision natural language processing intelligent automation paper highlight ai enhances design optimization predictive maintenance smart manufacturing structural health monitoring energy management autonomous system process control humanmachine collaboration study also examines domainspecific application digital twin industry aidriven material discovery intelligent transportation personalized healthcare system sustainable infrastructure development furthermore paper discusses emerging challenge involving data quality interoperability ethic need interdisciplinary skill development comprehensive review demonstrates ai merely addon technology foundational enabler driving innovation efficiency intelligent decisionmaking across engineering field shaping future global technological advancement,negative
9,recognition student behaviour class based video significant impact teacher quality student attention previously student behaviour recognition focused single student low performance efficiency study proposes system detecting student behaviour attention classroom using computer vision machine learning technique us webcam capture video student analyse facial expression eye movement determine whether paying attention also detect emotion student final output proposed system detect different kind student behaviour classroom attention class drowsiness emotion student finally provide rating staff,neutral
10,historically much machine learning research focused performance algorithm alone recently attention focused optimizing joint humanalgorithm performance analyze specific type humanalgorithm collaboration algorithm access set n item present subset size k human selects final item among k scenario could model content recommendation route planning type labeling task human algorithm imperfect noisy information true ordering item key question value k maximizes probability best item ultimately selected k performance optimized algorithm acting alone kn optimized human acting alone surprisingly show multiple noise model optimal set k n strict benefit collaborating even human algorithm equal accuracy separately demonstrate theoretically mallow model experimentally random utility model noisy permutation however show pattern reversed human anchored algorithm presented ordering joint system always strictly worse performance extend result case human algorithm differ accuracy level showing always exist regime accurate agent would strictly benefit collaborating less accurate one regime asymmetric human algorithm accuracy,positive
11,everywhere across globe bank increasingly viewing artificial intelligence revolutionary force likely transform fraud detection customer service automation targeted financial advisory service risk management operation even huge investment ai technology many banking organization face great challenge deploying machine learning system scale production environment main constraint often arises algorithmic constraint lack data science talent substandard technological infrastructure unable accommodate scale modern ai workload legacy banking platform built many year ago run batchprocessing architecture inherently incompatible realtime data streaming demand necessary today machine learning use case mainframe environment using inflexible data schema support heterogeneous unstructured data source required training advanced neural network limitation aging hardware constrain computation intricate algorithm enterprise level data fragmentation within departmental silo hinders accessibility undermining model precision predictive power infrastructure modernization unavoidable requirement effective implementation ai involving adoption cloud computing computational elasticity containerization technology standardized deployment across environment single unified data platform tying together dissimilar information source complianceaware architecture meeting stringent regulatory requirement banking organization required address systematic infrastructure constraint indepth transformation program combining technical upgrade organizational change management skill development initiative crossfunctional collaboration model conscious infrastructure development financial service company release full transformative power artificial intelligence realize enduring competitive gain ever digital banking environment,negative
12,community practice operate developing sharing formalizing concept together collective meaningmaking thereby enabling community member work together effectively context wikipedia concept include article quality vandalism subjective aspect collective work ai machine learning proven powerful tool facilitating collaboration scale modeling applying shared concept examine meaningmaking parallel aligning ai behavior describe case study modeling quality article dutch wikipedia using ai model engaging meaningmaking process dutch wikipedians case blur line social governance meaning reshaped ai model based case study present collective meaning cycle framework describes bidirectional relationship modeling meaningmaking also provide implication practice participatory ai design,neutral
13,use data driven automation new gain lot attention recently widespread understanding solution problem term fair nonbias classification different law area artificial intelligence became magic word however using historic data tricky job quite easily propagate discrimination efficient way thus work aimed analyse data legal proceeding looking evidence related occurrence bias judge decisionmaking process considering mainly gender social condition convict supervised unsupervised machine learning technique preceded data analysis processing procedure used explain find explicit data behaviour result pointed fragility technique identify bias suggest need improve data preprocessing search robust classification technique,positive
14,end world health organization referred public health commission hubei province china reported case severe unknown pneumonia new coronavirus sarscov identified responsible lung infection called covid coronavirus disease early diagnosis carrying virus becomes crucial contain spread morbidity mortality pandemic definitive diagnosis made specific test among imaging test play important role achieving goal separated radiological examination chest xray easily available least expensive alternative use xray chest radiograph element assist diagnosis allows follow disease subject many publication adopt machine learning approach work focus adopted convolutional neural network technique applied chest xray image,negative
15,last decade deep learning algorithm become popular thanks achieved performance many machine learning computer vision task however deep learning architecture vulnerable called adversarial example question security deep neural network dnn many security trustsensitive domain majority proposed existing adversarial attack based differentiability dnn cost functiondefence strategy mostly based machine learning signal processing principle either try detectreject filter adversarial perturbation completely neglect classical cryptographic component defence work propose new defence mechanism based second kerckhoffss cryptographic principle state defence classification algorithm supposed known key compliant assumption attacker access secret key primarily focus graybox scenario address whitebox one particularly assume attacker direct access secret block completely know system architecture b access data used training testing c observe output classifier given input show empirically system efficient famous stateoftheart attack blackbox graybox scenario,negative
16,biomaterials development creating material desirable property timeconsuming resourceintensive process often relying serendipitous discovery potential route accelerate process employ artificial intelligence methodology machine learning ml herein possibility predict antiinflammatory property polymer using simplified model inflammation restrained dataset explored cellular assay different polymer conducted using murine macrophage cell line raw model experiment generate dataset used develop ml model based bayesian logistic regression conducting bayesian logistic regression analysis two ml model knearest neighbor knn nave bayes employed predict antiinflammatory polymer property study find probability polymer antiinflammatory property multiplied three polycation nitric oxide secretion good indicator determining antiinflammatory property polymer work defined tumor necrosis factor alpha expression decrease overall study suggests appropriate dataset design ml technique provide valuable information functional polymer property enabling faster efficient biomaterial development,positive
17,existem diversas problemticas atualmente que influenciam dia dia ser humano dentro da sociedade principais e mais graf se referem mudanas climticas e desastres naturais que fogem controle e acabam causando danos que demoram um longo perodo para se normalizar problema de queimadas brasil recorrente devido localizao geogrfica pa porm em cenrio se agravou e foram queimados mais de milhes de hectare milhes de hectare mais que fazendo com que sociedade voltasse suas atenes para este problema gerando discusses em prol de melhorias atravs da tecnologia possvel prever e reduzir um possvel agravamento de situaes que podem ter um potencial muito grande de devastao e com este trabalho alm de discutir problema ser possvel visualizar uso de inteligncia artificial voltado para este cenrio importante pa atravs aprendizado de mquina possvel identificar focos de queimadas em fotos fazendo com que monitoramento seja aprimorado e que ocorra alarmes para uma situao que pode ser evitada ao final trabalho leitor estar por dentro cenrio atual de queimadas pa e tambm entender diferentes formas de se aplicar aprendizado de mquina especialmente cenrio de identificao de imagens utilizando yolo,neutral
18,nowadays many platform provide open educational resource learner must browse explore several suggested content better assimilate course facilitate selecting task resource present paper proposes intelligent tutoring system access teaching content available web automatically offer learner additional information source author highlight description logic approach knowledge representation strength underwrites modulization inference querying web ontology language enhanced traditional tutoring system architecture using ontology description logic enable access various data source web finally article concludes combination machine learning semantic web provided supportive study environment enhanced schooling condition within open distance learning,positive
19,background glioma common primary malignant brain tumor glioblastoma gbm aggressive subtype gbm characterized high recurrence rate treatment resistance leading poor patient outcome current prognostic model limited predictive power underscoring need elucidate underlying mechanism identify novel biomarkers improve therapeutic strategy prognostic model method gene expression clinical data gbm lgg obtained tcga cgga database singlecell sequencing data gse selected geo database molecular characteristic glioma revealed normalization consensus clustering analysis immune scoring cell infiltration analysis pathway analysis tubab identified key gene machine learning incorporated nomogram model using multivariate cox regression function validated qrtpcr vitro functional assay mouse xenograft model data analysis statistic performed using r software result consensus clustering tcga glioma dataset identified two aggrephagy subtypes c c c showing worse survival outcome higher immune infiltration tubab identified independent prognostic marker high expression associated upregulated cell cycle pathway alteration immune microenvironment tubab shown influence glioma cell proliferation migration invasion autophagy impacting tumor progression treatment response intercellular communication metabolic pathway conclusion study demonstrates high tubab expression closely associated glioma malignancy poor prognosis making potential therapeutic target,positive
20,abstract background telemedicine one major change clinician encountered past decade particular covid pandemic televisits rapidly implemented guarantee patient assistance intention health care provider hcps continue use beyond pandemic aim national survey evaluate current usage telemedicine ibd patient perspective investigating patient impression telemedicine factor affecting machine learning ml analysis method march italian ibd patient association amici onlus distributed member mailing list social medium platform anonymous online questionnaire investigating use telemedicine sociodemographic ibd characteristic collected usage patient satisfaction trust telemedicine assessed likert scale ml tool decision tree dt random forest rf applied identify determinant patient perception telemedicine produced rf ranking display two indicator incmse incnodepurity result nine hundred seventyeight ibd patient woman every italian region completed questionnaire among respondent personally telemedicine experience reported centre performed telemedicine service covid pandemic televisits email phonecalls dedicated website others overall would trust telemedicine service would like also another hcp eg nutritionist psychologist would like use telemedicine future answer specific question stated thought useful possibility use telemedicine would like centre offer facility considering last question output dt variable found influence patient willingness patient perception usefulness telemedicine treating disease since represented root tree explaining result rf ranking confirmed variable influenced patient perception highest level incmse incnodepurityfigure conclusion practice telemedicine management ibd patient relevant throughout italy far less four every five respondent would like use telemedicine machine learning analysis show perceived usefulness telemedicine service key point patient would like part usual clinical practice,negative
21,purpose study aimed investigate performance multiparametric magnetic resonance imaging mpmri radiomic featurebased machine learning ml model classifying gleason grade group gg prostate cancer method retrospective study total patient histopathologically confirmed prostate cancer underwent mpmri prostate biopsy included manual segmentation radiomic feature rf extracted tweighted apparent diffusion coefficient high bvalue diffusionweighted magnetic resonance imaging dwmri patient split training set testing set according ratio pipeline considering combination two feature selection f method six ml classifier developed evaluated performance model assessed using accuracy sensitivity precision fmeasure area curve auc result high bvalue dwmriderived feature combination f method recursive feature elimination rfe classifier random forest achieved highest performance classification prostate cancer five ggs accuracy sensitivity precision fmeasure method also achieved average auc gg conclusion preoperative mpmri radiomic analysis based ml noninvasive approach showed good performance classification prostate cancer five ggs advance knowledge herein radiomic model based preoperative mpmri ml developed classify prostate cancer ggs study provides evidence analysis quantitative rf extracted high bvalue dwmri image based combination f method rfe classifier random forest applied multiclass grading prostate cancer accuracy,negative
22,prediction cutting force boring machining crucial understanding cutting deformation tool wear workpiece quality physicsbased model offer adaptability across various working condition struggle complex dynamic scenario realtime effectiveness conversely deep learning model effective capturing nonlinear relationship highly datadependent may lose accuracy unfamiliar condition study proposes physicsenhanced datadriven transformer phydt model realtime cutting force prediction integrating physic knowledge deep learning specifically phydt leverage information machining parameter theoretical cutting force calculated using modified model based merchant theory johnsoncook constitutive model transformer network timeseries sensory data input incorporating physicsbased insight model aim balance adaptability accuracy across different machining condition offering improved performance complex scenario designed built heterogeneous data acquisition platform boring process validate phydt model various experimental parameter result show improved prediction accuracy generalization untrained workpiece compared traditional datadriven method ablation study show incorporating machining physic information multiscale attention cascaded convolutional neural network improves performance reducing mean absolute percentage error,positive
23,abstract demand food production increasing rapidly surge population cope increasing food demand precise agricultural management essential existing technique involve extensive field survey agricultural land discrimination minimize manhour effort time required technique automated technique precise crop type mapping monitoring used technique utilize satellite imagery advanced machine learning technique crop type mapping monitoring however performance technique affected factor fragmented land parcel seasonal variability inconsistent fieldlevel observation overcome issue study attempt classify grape nongrape crop monitor phenological stage study area pune district india using sentinel satellite imagery deep learning dl segmentation technique unet deeplabv sentinel c sar imagery vv vh polarization year utilized train evaluate long shortterm memory network lstm model aim analyze temporal behavior grape crop pruning harvesting stage emphasis growth stage like leaf set fruit set ripening experimental result demonstrate unet outperforms deeplabv fscore map grape crop classification lstm model showed performance fscore phenological stage identification study help agricultural stakeholder effective largescale crop discrimination minimum human intervention potential reveal grape distribution development stage faster time,positive
24,kidney cancer known one deadliest cancer high morbidity mortality rate survivability cancer always patient first concern thus method need devised find survivability rate achieve goal machine learning model effective providing aid clinician accuracy research paper seer surveillance epidemiology end result database used provide information cancer statistic three different approach used paper first experiment used regression model second included multiclass classification model predict survivability rate third used multitier classification end achieved accuracy model predict survivability patient,negative
25,introduction analyze public perception active aging china mainstream social medium platform determine whether th five year plan development aging career older adult care system issued cpc fully addressed public need method original tweet posted weibo january june containing word aging old age extracted bidirectional encoder representation transformer bertbased model used generate theme related perception qualitative thematic analysis independent review theme label conducted researcher result finding indicate public perception revolved around four theme health prevention protection convenient living environment cognitive health social integration protecting right interest older adult discussion study found although plan aligns theme lack clear planning financial security marital life,neutral
26,phrase search encryption important technique cloudbased iot system allows user retrieve encrypted iot data contains set consecutive keywords play important role cloudbased ehealthcare diagnosis system machine learning application cloudbased iot system etc however best knowledge existing phrase search encryption scheme achieve complete verification search result either verify whether returned file correctly containing query phrase verify whether file containing query phrase returned result verification important cloudbased iot application search result incorrect cloudbased ehealthcare diagnosis system lead misdiagnosis even endanger patient life order deal problem article explores achieve verifiable phrase search encrypted cloudbased iot data specifically design novel lookup table utilized determine verify position relationship among keywords meanwhile adopt twophase query strategy first query phase data user know identifier file containing keywords query phrase generate search trapdoor based identifier next phase second query phase data user obtain verification information check whether file containing query phrase correctly returned present security analysis scheme conduct extensive experiment result prove high security efficiency proposed scheme,positive
27,traffic system filled essential traffic control equipment cause massive infrastructural damage driver safety hacked explore machine learning method detect realtime lock picking thwart unauthorized access electronics gather accelerometer gyroscopic data train decision tree model detecting lock picking analysis reveals standard deviation feature two accelerometer ax adequate achieving robust performance deployed realtime decision tree model offsite test cabinet achieves accuracy,positive
